"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweets"
"1",1,"6% OFF #MacBookPro #apple #laptop @amazon @apple Apple 12"" MacBook, Retina, 1.3GHz Intel Core i5 Dual Core Processo‚Ä¶ https://t.co/JCs4d4V6wb",FALSE,1,NA,2018-05-04 17:35:03,TRUE,NA,992457593779118080,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",0,FALSE,FALSE,NA,NA,"laptopbrands"
"2",2,"42% OFF #apple #MacBook #MacBookAir #laptop @amazon @apple Apple 13.3"" MacBook Air ( Silver) https://t.co/ZtMA1Y1Sbi https://t.co/06F93RUDPJ",FALSE,3,NA,2018-05-04 17:30:12,FALSE,NA,992456370162106368,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",0,FALSE,FALSE,NA,NA,"laptopbrands"
"3",3,"May the 4th be with you Geeks!
We have Star Wars Edition Gaming Laptops!
Check it out online and in-store today!‚Ä¶ https://t.co/qn2sBBF05l",FALSE,0,NA,2018-05-04 17:30:07,TRUE,NA,992456351539515392,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GeeksOutlet",0,FALSE,FALSE,NA,NA,"laptopbrands"
"4",4,"What‚Äôs your entrepreneurial super power? Mine is not being scared of #tech... pretty lucky, having a #laptop busine‚Ä¶ https://t.co/BAMXXN3stD",FALSE,0,NA,2018-05-04 17:30:01,TRUE,NA,992456324523929600,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UnbossMe",0,FALSE,FALSE,NA,NA,"laptopbrands"
"5",5,"The #safest #bag ever, which has so many #features you won‚Äôt believe them! It has a #largespace #design, where you‚Ä¶ https://t.co/PLEYkPGvWN",FALSE,0,NA,2018-05-04 17:30:00,TRUE,NA,992456322003091456,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LoveBaggeria",0,FALSE,FALSE,NA,NA,"laptopbrands"
"6",6,"Laptop Backpack Large Capacity Bag 
#Laptop #Backpack #Large #Capacity #Bag @lalbuginfo 
15.6 Inch Laptop Backpack‚Ä¶ https://t.co/tGKxQaHi9N",FALSE,1,NA,2018-05-04 17:26:44,TRUE,NA,992455499080585216,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdataur59",0,FALSE,FALSE,NA,NA,"laptopbrands"
"7",7,"Do you need a #responsivewebsite for your new #businessventure Our websites work on all devices #desktop #laptop‚Ä¶ https://t.co/aAqhwOEotb",FALSE,0,NA,2018-05-04 17:26:02,TRUE,NA,992455321489694720,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Luxxwebdesign",0,FALSE,FALSE,NA,NA,"laptopbrands"
"8",8,"Laptop Backpack External USB Charge
#Laptop #Backpack #External #USB #Charge @lalbuginfo 
Kingsons 15‚Ä≥17‚Ä≥ Laptop Ba‚Ä¶ https://t.co/uE96XDHXTA",FALSE,1,NA,2018-05-04 17:22:03,TRUE,NA,992454321588465664,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdataur59",0,FALSE,FALSE,NA,NA,"laptopbrands"
"9",9,"Laptop backpack computer school bag
#Laptop #backpack #computer #school #bag @lalbuginfo
 Men‚Äôs 15 inch laptop back‚Ä¶ https://t.co/YXMhR4vxdd",FALSE,1,NA,2018-05-04 17:17:41,TRUE,NA,992453219627364352,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdataur59",0,FALSE,FALSE,NA,NA,"laptopbrands"
"10",10,"Ì†ºÌº∂Ô∏èÌ†ºÌº∂Ô∏èÌ†ºÌº∂Ô∏èEveryone #loves a little spice. #Celebrate Cinco de Mayo with our Chili Pepper Red #Tote. GET 15% OFF the Amb‚Ä¶ https://t.co/LfQkDzc4VM",FALSE,1,NA,2018-05-04 17:10:41,TRUE,NA,992451459525427200,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amberashco",0,FALSE,FALSE,NA,NA,"laptopbrands"
"11",11,"42% OFF #Apple #MacBook #MacBookAir #laptop @amazon @apple Apple 13.3"" MacBook Air ( Silver) https://t.co/yqcxCd5qnr https://t.co/fFr5LuYod9",FALSE,0,NA,2018-05-04 17:10:05,FALSE,NA,992451310367764480,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",0,FALSE,FALSE,NA,NA,"laptopbrands"
"12",12,"RT @blueshiftcoding: Are you investing in new tech this spring? Check out our laptop guide! https://t.co/cUFZBez1mW #laptop #shopping https‚Ä¶",FALSE,0,NA,2018-05-04 17:04:53,FALSE,NA,992450000335654912,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kensingtonmums",2,TRUE,FALSE,NA,NA,"laptopbrands"
"13",13,"Come check out all the computer accessories we have to offer! From power adapters to computer speakers we have it a‚Ä¶ https://t.co/T8gClyXDUd",FALSE,0,NA,2018-05-04 17:01:18,TRUE,NA,992449099428519936,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Seattle_Laptop",0,FALSE,FALSE,NA,NA,"laptopbrands"
"14",14,"Do you sell #device #accessories? Covers, Cases, Wallets, Mobile/Tablet Stands, #Laptop Bags, Ear #phone cases, Per‚Ä¶ https://t.co/CNImS8oBSq",FALSE,1,NA,2018-05-04 17:00:45,TRUE,NA,992448959582007296,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KellyLauraEvent",0,FALSE,FALSE,NA,NA,"laptopbrands"
"15",15,"#Students, on a budget but need a new #laptop? SAVE UP TO 70% at https://t.co/LtGKhmZmRL today! #NUS https://t.co/CQ4gy81cy9",FALSE,0,NA,2018-05-04 16:55:05,FALSE,NA,992447533816348672,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","itzoouk",0,FALSE,FALSE,NA,NA,"laptopbrands"
"16",16,"Laptop Sleeve with Ostrich Pattern https://t.co/5d0qiY4KPa via @redbubble #laptopsleeve #laptop #cases&amp;skins #cases #skins",FALSE,0,NA,2018-05-04 16:51:16,FALSE,NA,992446575015231488,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eligodesign_",0,FALSE,FALSE,NA,NA,"laptopbrands"
"17",17,".@NewsWatchTV is out with a #video that includes everything you need to know about why our Atlas #2in1 #laptop is a‚Ä¶ https://t.co/yGdpMe5xxg",FALSE,1,NA,2018-05-04 16:35:11,TRUE,NA,992442524680753152,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bakusabuffalo",0,FALSE,FALSE,NA,NA,"laptopbrands"
"18",18,"@DellCaresPRO well thank you for helping us sort out this #laptop you did good",FALSE,0,"DellCaresPRO",2018-05-04 16:34:37,FALSE,992440340627050496,992442383794089984,256434584,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","barnesemma56",0,FALSE,FALSE,NA,NA,"laptopbrands"
"19",19,"RT @rutembesatweets: ASUS ROG Strix GL503VD-DB74 Premium 15.6'' Gaming and Business Laptop PC (Intel i7 Quad Core, 32GB RAM, 1TB HDD + 256G‚Ä¶",FALSE,0,NA,2018-05-04 16:34:07,FALSE,NA,992442255481950208,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Galuwero",1,TRUE,FALSE,NA,NA,"laptopbrands"
