"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ASUS: Enabling the ASUS Router skill for Amazon Alexa, you can control your ASUS router via Alexa with voice commands ‚Äî without lifting‚Ä¶",FALSE,0,NA,2018-05-04 17:41:09,FALSE,NA,"992459126511980546",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","faris2613",17,TRUE,FALSE,NA,NA
"2","#Asus‚Äôs #Android Go smartphone #ZenFone #Live L1 launched. https://t.co/dX8hc3XQbw

#ZenFoneLiveL1 #Nokia7plus‚Ä¶ https://t.co/egKwFPh8m6",FALSE,0,NA,2018-05-04 17:24:12,TRUE,NA,"992454860875489281",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Mobipro360",0,FALSE,FALSE,NA,NA
"3","START STAKING YOUR COINS

https://t.co/ggTWaZJXtx 

@airdropradio 
#poscoin #bitclub #ethereum #Nvidia #asus‚Ä¶ https://t.co/SHoEsOy1cB",FALSE,0,NA,2018-05-04 17:03:46,TRUE,NA,"992449718205599744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FreeBitcoiners",0,FALSE,FALSE,NA,NA
"4","#ASUS #ZenFone now supported #bim #autodesk #android https://t.co/5U7ejz43O4",FALSE,0,NA,2018-05-04 17:00:07,FALSE,NA,"992448800869572608",NA,"<a href=""http://www.standard3d.com"" rel=""nofollow"">Tweetinator</a>","standard3d",0,FALSE,FALSE,NA,NA
"5","RT @technobezz: #Nokia 6.1 Released at a Premium Price: Giving the Competition a Run for its Money #AndroidOreo81 #Asus #AsusZenFoneMaxProM‚Ä¶",FALSE,0,NA,2018-05-04 16:57:51,FALSE,NA,"992448229827428353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","anuj22061978",1,TRUE,FALSE,NA,NA
"6","Live https://t.co/blF3BCYdWk #pubg #playerunknownsbattlegrounds #pc #pcgaming #pcmasterrace #corsair #intel #asus‚Ä¶ https://t.co/VdadYOKPtp",FALSE,0,NA,2018-05-04 16:41:05,TRUE,NA,"992444012236759041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sonic_dabs",0,FALSE,FALSE,NA,NA
"7","RT @ASUS: Enabling the ASUS Router skill for Amazon Alexa, you can control your ASUS router via Alexa with voice commands ‚Äî without lifting‚Ä¶",FALSE,0,NA,2018-05-04 16:36:29,FALSE,NA,"992442851861630977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TechMadeMeBroke",17,TRUE,FALSE,NA,NA
"8","RT @Z3rXos: Go Go Go 
#TwitchPrime #GermanMediaRT #twitchclips #stream #msi #geforce #corsair #logitech #LogitechG  #ASUS #PUBG #HyperX #Yo‚Ä¶",FALSE,0,NA,2018-05-04 16:05:08,FALSE,NA,"992434962833072128",NA,"<a href=""https://www.discoveringmypathblog.wordpress.com"" rel=""nofollow"">iosdevsrus</a>","ReadySetStream2",6,TRUE,FALSE,NA,NA
"9","#Nokia 6.1 Released at a Premium Price: Giving the Competition a Run for its Money #AndroidOreo81 #Asus‚Ä¶ https://t.co/IETOryEaW2",FALSE,1,NA,2018-05-04 15:49:18,TRUE,NA,"992430979980713984",NA,"<a href=""http://www.technobezz.com"" rel=""nofollow"">Technobezz</a>","technobezz",1,FALSE,FALSE,NA,NA
"10","Fighting like the Devil, Dressed like a Man.. Ì†ΩÌ∏à #assassinscreed #asus #iphone‚Ä¶ https://t.co/UMeJul57pk",FALSE,0,NA,2018-05-04 15:35:22,FALSE,NA,"992427472330338304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ArulPrasadJ",0,FALSE,FALSE,"76.9167","8.48333"
"11","RT @expresstechie: #ASUS Zenfone Live L1 with Android Oreo (Go Edition) announced: Here are the specifications
https://t.co/9S6KSumZYa",FALSE,0,NA,2018-05-04 15:31:15,FALSE,NA,"992426435724828672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shinuglobal",2,TRUE,FALSE,NA,NA
"12","PC SETUP EXPERTS:  For my new 4K Monster video editing build, i'm going to use 64GB or RAM, should I go with‚Ä¶ https://t.co/fMJNeHZX6e",FALSE,1,NA,2018-05-04 15:22:54,TRUE,NA,"992424335020347392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","techgeartalk",0,FALSE,FALSE,NA,NA
"13","@C4ETech If the #ZenfoneMaxProM1 was priced better than RedmiNote5Pro, will the Zenfone 5 be priced around the‚Ä¶ https://t.co/HlikyWTPVV",FALSE,0,"C4ETech",2018-05-04 15:03:49,TRUE,"992383799135690752","992419531409702913","145851433","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KirubhasWasHere",0,FALSE,FALSE,NA,NA
"14","Check out NEW ASUS ZenBeam E1 pocket LED projector 150 lumens F/S From Japan #ASUS https://t.co/CvjaWQvasg via @eBay",FALSE,0,NA,2018-05-04 15:03:26,FALSE,NA,"992419437037813767",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","otoku_kyoku",0,FALSE,FALSE,NA,NA
"15","It's #FindOutFriday --- Did you guess the M.2 cover on the ASUS Republic of Gamers 270i gaming board? #PCMR #Asus‚Ä¶ https://t.co/jgporGYIXL",FALSE,3,NA,2018-05-04 15:03:03,TRUE,NA,"992419338350100481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ModMyMods",0,FALSE,FALSE,NA,NA
"16","#ASUS Zenfone Live L1 with Android Go Launched in Indonesia https://t.co/GU5mfrXUhc https://t.co/JcUusxpdqd",FALSE,0,NA,2018-05-04 14:56:40,FALSE,NA,"992417731696840704",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","dealntech",0,FALSE,FALSE,NA,NA
