"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I'm upping my game.
GO BIG OR GO HOME!

#CANONM50
#rhodemicrophone
#apple
#macbookpro
#YouTube
#smallyoutuber https://t.co/wXnuHnS4gQ",FALSE,0,NA,2018-05-04 17:40:18,FALSE,NA,"992458912967331840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miketpatterson",0,FALSE,FALSE,NA,NA
"2","6% OFF #MacBookPro #apple #laptop @amazon @apple Apple 12"" MacBook, Retina, 1.3GHz Intel Core i5 Dual Core Processo… https://t.co/JCs4d4V6wb",FALSE,1,NA,2018-05-04 17:35:03,TRUE,NA,"992457593779118080",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",0,FALSE,FALSE,NA,NA
"3","We look at Twitter's password fail &amp; a petition for a Touch Bar MacBook Pro recall on @tmodaily #twitter… https://t.co/ktbWvwjY60",FALSE,1,NA,2018-05-04 17:27:31,TRUE,NA,"992455696888279040",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","jgamet",0,FALSE,FALSE,NA,NA
"4","We look at Twitter's password fail &amp; a petition for a Touch Bar MacBook Pro recall on @tmodaily #twitter… https://t.co/Ru73oY035h",FALSE,0,NA,2018-05-04 17:27:19,TRUE,NA,"992455646170640384",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","MacObserver",0,FALSE,FALSE,NA,NA
"5","If #apple is going to release a #MacBookPro with practically no perceptible key travel (and poor reliability) why n… https://t.co/zqna7vb6eC",FALSE,0,NA,2018-05-04 16:28:13,TRUE,NA,"992440774196424705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheRealAlexSays",0,FALSE,FALSE,NA,NA
"6","Live setup training
#korg #microkorg #kaosspad #basspedal #basspedalboard #bassporn #tech21 #pigtronix #crybaby… https://t.co/zmEFwO3dP7",FALSE,1,NA,2018-05-04 16:11:19,TRUE,NA,"992436521088245760",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","jpas81",0,FALSE,FALSE,NA,NA
"7","#Apple #MacBookPro Butterfly Keyboard Failures Spark Petition For Costly #Recall https://t.co/3t3fC6tvdu via @HotHardware",FALSE,0,NA,2018-05-04 15:48:26,FALSE,NA,"992430762271133697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HotHardware",0,FALSE,FALSE,NA,NA
"8","15"" MacBook Pro Price Tracker, real-time prices #macbook #apple #macbookpro https://t.co/JsX12VXedX",FALSE,0,NA,2018-05-04 15:40:11,FALSE,NA,"992428683297218561",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","maccoupons",0,FALSE,FALSE,NA,NA
"9","Glad I am not the only one. The new Butterfly Keyboard on the #MacbookPro is horrific. A recall is needed!… https://t.co/jlDaKAyuKU",FALSE,0,NA,2018-05-04 15:26:59,TRUE,NA,"992425363350401024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gopic",0,FALSE,FALSE,NA,NA
"10","13"" MacBook Pro Price Tracker, real-time prices #macbook #apple #macbookpro https://t.co/OqhsbXzAXX",FALSE,0,NA,2018-05-04 15:25:08,FALSE,NA,"992424897174556672",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","maccoupons",0,FALSE,FALSE,NA,NA
