"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @marcosfernos: I thought it Would be safe to go out #BreathoftheWild #NintendoSwitch https://t.co/sOvsljlcdb",FALSE,0,NA,2018-05-06 23:58:21,FALSE,NA,"993278829534760960",NA,"<a href=""http://apps.burndive.com/p/sheikahmemories.html"" rel=""nofollow"">BOTW Retweeter</a>","SheikahMemories",1,TRUE,FALSE,NA,NA
"2","I thought it Would be safe to go out #BreathoftheWild #NintendoSwitch https://t.co/sOvsljlcdb",FALSE,0,NA,2018-05-06 23:58:21,FALSE,NA,"993278826644885504",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","marcosfernos",1,FALSE,FALSE,NA,NA
"3","RT @FroggyLuvCoffee: whats with trees glitching out in this game? #BreathoftheWild #NintendoSwitch https://t.co/sKDkzrF2KJ",FALSE,0,NA,2018-05-06 23:57:40,FALSE,NA,"993278654430887936",NA,"<a href=""http://apps.burndive.com/p/sheikahmemories.html"" rel=""nofollow"">BOTW Retweeter</a>","SheikahMemories",1,TRUE,FALSE,NA,NA
"4","whats with trees glitching out in this game? #BreathoftheWild #NintendoSwitch https://t.co/sKDkzrF2KJ",FALSE,0,NA,2018-05-06 23:57:39,FALSE,NA,"993278650848968704",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","FroggyLuvCoffee",1,FALSE,FALSE,NA,NA
"5","RT @EmilyAllowa: #BreathoftheWild #NintendoSwitch i Didn'teven know,i thought i was about to uncover a secret chest https://t.co/qP329B3LOk",FALSE,0,NA,2018-05-06 23:56:14,FALSE,NA,"993278295138557952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","d4v3t4v",2,TRUE,FALSE,NA,NA
"6","RT @TheUltraGamer3: I JUST WANTED MORE EGGOS IM BROKE AS SHIT DONT FUCK WITH ME
#BreathoftheWild #NintendoSwitch https://t.co/pKRyxdxe5a",FALSE,0,NA,2018-05-06 23:53:04,FALSE,NA,"993277497646071809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AxkilAvenger",2,TRUE,FALSE,NA,NA
"7","RT @MomsBasementTV: Happy #SundayShelves! The top shelf is my favorite shelf! #VirtualBoy #PowerGlove #CIBSunday #VideoGames #RetroGaming #…",FALSE,0,NA,2018-05-06 23:50:51,FALSE,NA,"993276941535936512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","orwwan",14,TRUE,FALSE,NA,NA
"8","RT @FelipeOlivero1: OMFG WE MADE IT TILL CALAMITY GANON!!! #BreathoftheWild #NintendoSwitch #Hype https://t.co/fRN6CoGFa8",FALSE,0,NA,2018-05-06 23:49:55,FALSE,NA,"993276707783065600",NA,"<a href=""http://apps.burndive.com/p/sheikahmemories.html"" rel=""nofollow"">BOTW Retweeter</a>","SheikahMemories",1,TRUE,FALSE,NA,NA
"9","OMFG WE MADE IT TILL CALAMITY GANON!!! #BreathoftheWild #NintendoSwitch #Hype https://t.co/fRN6CoGFa8",FALSE,0,NA,2018-05-06 23:49:55,FALSE,NA,"993276705455263744",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","FelipeOlivero1",1,FALSE,FALSE,NA,NA
"10","RT @cosmic_crusher: Bump on the noggin? BAD BABYSITTING

 #BreathoftheWild #NintendoSwitch https://t.co/Jc8uzzDO08",FALSE,0,NA,2018-05-06 23:49:28,FALSE,NA,"993276591273791488",NA,"<a href=""http://apps.burndive.com/p/sheikahmemories.html"" rel=""nofollow"">BOTW Retweeter</a>","SheikahMemories",1,TRUE,FALSE,NA,NA
"11","Bump on the noggin? BAD BABYSITTING

 #BreathoftheWild #NintendoSwitch https://t.co/Jc8uzzDO08",FALSE,0,NA,2018-05-06 23:49:27,FALSE,NA,"993276588480315392",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","cosmic_crusher",1,FALSE,FALSE,NA,NA
"12","RT @Biblops: This is the only way I can play Zelda now.  #BreathoftheWild #NintendoSwitch https://t.co/De7wZu9Wmu",FALSE,0,NA,2018-05-06 23:49:18,FALSE,NA,"993276549620158464",NA,"<a href=""http://apps.burndive.com/p/sheikahmemories.html"" rel=""nofollow"">BOTW Retweeter</a>","SheikahMemories",1,TRUE,FALSE,NA,NA
"13","This is the only way I can play Zelda now.  #BreathoftheWild #NintendoSwitch https://t.co/De7wZu9Wmu",FALSE,2,NA,2018-05-06 23:49:17,FALSE,NA,"993276546549891072",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","Biblops",1,FALSE,FALSE,NA,NA
