"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","IMEXX USB 3 LED LAMPARA https://t.co/Ie6PcY6JXW  #panama #dell #compras #panamacity #micromac #computadora #pc… https://t.co/bt4gaFvuhV",FALSE,0,NA,2018-05-04 17:30:10,TRUE,NA,"992456364524961793",NA,"<a href=""https://www.socialgest.net"" rel=""nofollow"">SocialGest</a>","MicromacPanama",0,FALSE,FALSE,NA,NA
"2","RT @eStream_Studios: #Dell's G7 15 #gaming_laptop is finally on sale for the first time ever https://t.co/nfG0gQrAqs | https://t.co/9AaTTqX…",FALSE,0,NA,2018-05-04 17:23:22,FALSE,NA,"992454650979803136",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","eStream_Studios",1,TRUE,FALSE,NA,NA
"3","RT @TheServerStore1: #Dell PowerEdge R430 is a excellent fit for high-performance computing, web tech and infrastructure, sizeable internal…",FALSE,0,NA,2018-05-04 17:14:26,FALSE,NA,"992452404158369792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nathanwiley",1,TRUE,FALSE,NA,NA
"4","#Dell PowerEdge R430 is a excellent fit for high-performance computing, web tech and infrastructure, sizeable inter… https://t.co/nhfPfRFb1U",FALSE,1,NA,2018-05-04 17:14:07,TRUE,NA,"992452324059762688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheServerStore1",1,FALSE,FALSE,NA,NA
"5","RT @www_greenit_ie: Great Offer!! Dell Latitude E5430  Core i5 – 4GB RAM – 250GB HD 
Only €279!! 

https://t.co/ITeDn559pM

buy now while s…",FALSE,0,NA,2018-05-04 17:06:04,FALSE,NA,"992450296390537221",NA,"<a href=""https://twitter.com/TopSales9"" rel=""nofollow"">BestDealsToday</a>","TopSales9",1,TRUE,FALSE,NA,NA
"6","Have you seen our review of the 2U #C6400 chassis that supports up to 4 #Dell #EMC #PowerEdge #C6420 server node? W… https://t.co/W4FdbycPKU",FALSE,2,NA,2018-05-04 17:05:09,TRUE,NA,"992450068991983616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IT_Creations",0,FALSE,FALSE,NA,NA
"7","Join @DellEMCFederal as they announce a wave of innovations to help their #Federal customers on their paths toward… https://t.co/qkVubsYBAU",FALSE,0,NA,2018-05-04 17:00:51,TRUE,NA,"992448983409848320",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","GovEventsGroup",0,FALSE,FALSE,NA,NA
"8","Great Offer!! Dell Latitude E5430  Core i5 – 4GB RAM – 250GB HD 
Only €279!! 

https://t.co/ITeDn559pM

buy now whi… https://t.co/j19IlEgWay",FALSE,0,NA,2018-05-04 17:00:11,TRUE,NA,"992448816703070208",NA,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","www_greenit_ie",1,FALSE,FALSE,NA,NA
"9","RT @DellCaresPRO: How do I run diagnostics on a #Dell monitor? https://t.co/BheOzVYEUE #monitors https://t.co/BovdvwTQTL",FALSE,0,NA,2018-05-04 16:34:44,FALSE,NA,"992442411740778496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","barnesemma56",1,TRUE,FALSE,NA,NA
"10","#Dell Refurb #coupons: 45% off most Laptops, 40% off Desktops, 30% off Monitors https://t.co/jgMBt8Vazb",FALSE,0,NA,2018-05-04 16:28:07,FALSE,NA,"992440748716056576",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","cameradealsblog",0,FALSE,FALSE,NA,NA
