"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@cricbuzz  need  746 #hp engine
@hardikpandya7",FALSE,0,"cricbuzz",2018-05-04 17:39:36,FALSE,NA,"992458738727563264","14251256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im_poru",0,FALSE,FALSE,NA,NA
"2","#ShailBala You dont only guard the borders while doing your duty. Look at the valiant Dogras. While one shoots the… https://t.co/JNiFpgDRSf",FALSE,0,NA,2018-05-04 17:37:46,TRUE,NA,"992458273390505984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sinhgohil",0,FALSE,FALSE,NA,NA
"3","SEIKO×PADI Limited Edition 300M Diver's Solar Watch Quartz [SBBN039]
FREE International Shipping #HP… https://t.co/NsIqQnS7Tp",FALSE,0,NA,2018-05-04 17:33:14,TRUE,NA,"992457133198315520",NA,"<a href=""http://botbird.metabirds.net"" rel=""nofollow"">Botbird tweets</a>","ujiiejapan",0,FALSE,FALSE,NA,NA
"4","RT @ActionIntell: Australian Consumer Protection Commission Orders #HP to Compensate Consumers for Firmware That Locked Out Aftermarket Ink…",FALSE,0,NA,2018-05-04 17:30:44,FALSE,NA,"992456505608757248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Go2RIS",3,TRUE,FALSE,NA,NA
"5","RT @earth_riot: #Italy #Brescia 
Solidarietà al popolo palestinese in lotta!
#Solidarity to resistent peoples
Anticapitalist action of boyc…",FALSE,0,NA,2018-05-04 17:22:27,FALSE,NA,"992454419441700866",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexpunx1977",10,TRUE,FALSE,NA,NA
"6","RT @mforpodcast: We have a new episode up! Bulking Out Hufflepuff is available now! 
Search in your favourite podcast player! #idioms #podc…",FALSE,0,NA,2018-05-04 16:59:54,FALSE,NA,"992448745596956672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ragbagfrank",1,TRUE,FALSE,NA,NA
"7","HP printer technical support
#hp #printer #helpline #hpprinter #technicalissues  #hpsupport #hphelp https://t.co/wInZvL92Qa",FALSE,1,NA,2018-05-04 16:59:46,FALSE,NA,"992448711740481536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","printershelp247",0,FALSE,FALSE,NA,NA
"8","#HP Pavilion Power 15-cb045wm Gaming Laptop i7-7700HQ 12GB 1TB NVIDIA GTX1050 https://t.co/C7IpWWpBRV https://t.co/2FrAMqCwWK",FALSE,0,NA,2018-05-04 16:55:16,FALSE,NA,"992447580939300864",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Top5pc",0,FALSE,FALSE,NA,NA
"9","#FridayFeeIing 
#customersupport
Only 2 percent of the world’s business printers are secure.
Know how to prevent… https://t.co/QGVnt0mgfm",FALSE,0,NA,2018-05-04 16:52:11,TRUE,NA,"992446805903212546",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hpsupportonline",0,FALSE,FALSE,NA,NA
"10","RT @P1inmotion: ** BLOWOUT SALE **  HP LJ P3015N/DN Refurbished Formatter Board - CE475-67901   $45.00!!!!
 https://t.co/HRL5Udprjq
#HP #SA…",FALSE,0,NA,2018-05-04 16:51:53,FALSE,NA,"992446729969684481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","seemarto",2,TRUE,FALSE,NA,NA
"11","RT @ignocts: someone said they missed my harry so here he is w his snake friend #hp https://t.co/gnuGdOlOgt",FALSE,0,NA,2018-05-04 16:47:57,FALSE,NA,"992445736758513665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SNUFKlNS",2,TRUE,FALSE,NA,NA
"12","SEIKO CLOCK Disney Mickey Mouse Wall Clock FW576B
#HP https://t.co/liTgYm30Ij   #ebay https://t.co/uHkNpqaGkL… https://t.co/wtGOQBGSux",FALSE,0,NA,2018-05-04 16:43:16,TRUE,NA,"992444558523891712",NA,"<a href=""http://botbird.metabirds.net"" rel=""nofollow"">Botbird tweets</a>","ujiiejapan",0,FALSE,FALSE,NA,NA
"13","RT @DreamyInnocence: New #HP OC
Crossovers welcome
Mature and sometimes dark themes
#Ravenclaw
Scouting SLs
DMs are invite only. https://t.…",FALSE,0,NA,2018-05-04 16:42:48,FALSE,NA,"992444442459164672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LilMissLovegood",4,TRUE,FALSE,NA,NA
"14","RT @vhcleleasmgmt: Looking for a new car or van this weekend? why not check us out to see what we can offer you? either check our website o…",FALSE,0,NA,2018-05-04 16:36:14,FALSE,NA,"992442789827960832",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","UKCarLease",1,TRUE,FALSE,NA,NA
"15","RT @ignocts: someone said they missed my harry so here he is w his snake friend #hp https://t.co/gnuGdOlOgt",FALSE,0,NA,2018-05-04 16:30:05,FALSE,NA,"992441244214116352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parksuungjin",2,TRUE,FALSE,NA,NA
"16","OMG the feels!

#harrypotter #dracomalfoy #malfoy #fanfic #fanfiction #dramione #HP #draco #Slytherin https://t.co/EMKX1kMqSS",FALSE,0,NA,2018-05-04 16:29:52,FALSE,NA,"992441186521665536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","XpectoP",0,FALSE,FALSE,NA,NA
"17","someone said they missed my harry so here he is w his snake friend #hp https://t.co/gnuGdOlOgt",FALSE,6,NA,2018-05-04 16:29:08,FALSE,NA,"992441004597784576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ignocts",2,FALSE,FALSE,NA,NA
"18","Looking for a new car or van this weekend? why not check us out to see what we can offer you? either check our webs… https://t.co/gFPNkoPnAk",FALSE,1,NA,2018-05-04 16:15:07,TRUE,NA,"992437474822688769",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","vhcleleasmgmt",1,FALSE,FALSE,NA,NA
"19","Check out this week’s featured items. https://t.co/kcSpgLPrEL #newegg #hp #lenovo #tech https://t.co/mWHlVHp230",FALSE,0,NA,2018-05-04 16:15:04,FALSE,NA,"992437465171587072",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","srstechgroup",0,FALSE,FALSE,NA,NA
"20","Our Ultimate Lightning Fast Deal!!!
HP Pavilion 550-153NA 
Core i5 - 8GB RAM - 2TB HD &amp; super fast new 120GB SSD!!!… https://t.co/5Zu0yfVRBm",FALSE,0,NA,2018-05-04 16:00:15,TRUE,NA,"992433734895964160",NA,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","www_greenit_ie",0,FALSE,FALSE,NA,NA
"21","@littlebrown @bustle Not about me, but my sister read #HarryPotterandthePrisonerofAzkaban around 8-10 and she was t… https://t.co/jjQaZy1jwO",FALSE,0,"littlebrown",2018-05-04 15:59:50,TRUE,"992388784653328384","992433629275082752","15633626","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","litreadingblog",0,FALSE,FALSE,NA,NA
"22","Perfect for basic browsing, catching up on some Netflix or getting some work done, this #HP #Laptop has you covered… https://t.co/OIKtAgQUVl",FALSE,0,NA,2018-05-04 15:50:14,TRUE,NA,"992431214895288320",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ecbshalifax",0,FALSE,FALSE,NA,NA
"23","RT @jeansseninde: Absolutely delighted to join @HarperPerform as an athlete ambassador 
#hp
#suchanhonour
#alwaysbelieveinyourdreams https:…",FALSE,0,NA,2018-05-04 15:47:28,FALSE,NA,"992430517944545287",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akida_14",5,TRUE,FALSE,NA,NA
"24","Our #DevOps workshop is underway! Gerald with #HP Enterprise is our first speaker of the day - he's talking about… https://t.co/6HWrQhEvfC",FALSE,0,NA,2018-05-04 15:46:56,TRUE,NA,"992430383139622912",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","RootLevelTech",0,FALSE,FALSE,NA,NA
"25","#HP agrees to cough up as much as A$100,000 in compensation over Australian ink gaffe https://t.co/GTspT2VKRv",FALSE,0,NA,2018-05-04 15:43:16,FALSE,NA,"992429462489780224",NA,"<a href=""http://www.opi.net"" rel=""nofollow"">OPI Website</a>","OPInews",0,FALSE,FALSE,NA,NA
