"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","These trees are Chucksters in disguise! 
#SuperMarioOdyssey #NintendoSwitch https://t.co/iivyYib1AG",FALSE,0,NA,2018-05-06 23:56:47,FALSE,NA,"993278435865706497",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","kehzou",0,FALSE,FALSE,NA,NA
"2","RT @zombie_soda: A good question #SuperMarioOdyssey #NintendoSwitch https://t.co/3gJeNMrjkz",FALSE,0,NA,2018-05-06 23:55:24,FALSE,NA,"993278085741985792",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"3","A good question #SuperMarioOdyssey #NintendoSwitch https://t.co/3gJeNMrjkz",FALSE,1,NA,2018-05-06 23:55:23,FALSE,NA,"993278082428514304",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","zombie_soda",1,FALSE,FALSE,NA,NA
"4","RT @Yiddash4: #SuperMarioOdyssey #NintendoSwitch Cappy es free win :v https://t.co/JpBKS8kLgj",FALSE,0,NA,2018-05-06 23:55:20,FALSE,NA,"993278069988364293",NA,"<a href=""https://rtbot.minimolaweb.de"" rel=""nofollow"">Super Mario Odyssey Retweet-Bot</a>","odyssey_rt_bot",2,TRUE,FALSE,NA,NA
"5","RT @PizzMozz: sup at koolguy :)))))))))))))))))))) #SuperMarioOdyssey #NintendoSwitch https://t.co/DC87iyGybT",FALSE,0,NA,2018-05-06 23:53:49,FALSE,NA,"993277686133948416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KoolGuyxdd",2,TRUE,FALSE,NA,NA
"6","RT @GamerHollandMii: @NintendoAmerica Finally I have a reason to wear all of my random food clothes from #Miitomo! #SuperMarioOdyssey #Save…",FALSE,0,NA,2018-05-06 23:52:19,FALSE,NA,"993277311800827905",NA,"<a href=""https://rtbot.minimolaweb.de"" rel=""nofollow"">Super Mario Odyssey Retweet-Bot</a>","odyssey_rt_bot",1,TRUE,FALSE,NA,NA
"7","RT @PizzMozz: High IQ (last skeleton mario crappost for today) #SuperMarioOdyssey #NintendoSwitch https://t.co/XQjM7d51pt",FALSE,0,NA,2018-05-06 23:51:04,FALSE,NA,"993276997265571840",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"8","High IQ (last skeleton mario crappost for today) #SuperMarioOdyssey #NintendoSwitch https://t.co/XQjM7d51pt",FALSE,1,NA,2018-05-06 23:51:04,FALSE,NA,"993276994795192320",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","PizzMozz",1,FALSE,FALSE,NA,NA
"9","RT @squiddysaccount: i know, cappy. we can't all be hats. fuck off #SuperMarioOdyssey #NintendoSwitch https://t.co/fN4fYQX17G",FALSE,0,NA,2018-05-06 23:49:57,FALSE,NA,"993276715068686337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fali93",2,TRUE,FALSE,NA,NA
"10","RT @HamSam03: 9.23 uproot, 16.57 SoB #SuperMarioOdyssey #NintendoSwitch https://t.co/A5c38gtt3Z",FALSE,0,NA,2018-05-06 23:49:42,FALSE,NA,"993276650535010304",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"11","9.23 uproot, 16.57 SoB #SuperMarioOdyssey #NintendoSwitch https://t.co/A5c38gtt3Z",FALSE,0,NA,2018-05-06 23:49:41,FALSE,NA,"993276645032116224",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","HamSam03",1,FALSE,FALSE,NA,NA
"12","RT @8BITGAMINGDUO: #SuperMarioOdyssey #NintendoSwitch #8BGD  this level was a little mario https://t.co/21WuOVEc0Z",FALSE,0,NA,2018-05-06 23:49:18,FALSE,NA,"993276550366793728",NA,"<a href=""https://rtbot.minimolaweb.de"" rel=""nofollow"">Super Mario Odyssey Retweet-Bot</a>","odyssey_rt_bot",3,TRUE,FALSE,NA,NA
"13","RT @8BITGAMINGDUO: #SuperMarioOdyssey #NintendoSwitch #8BGD #8Bit platform games are bittersweet https://t.co/ZhdKfxAyx6",FALSE,0,NA,2018-05-06 23:46:17,FALSE,NA,"993275792342880256",NA,"<a href=""https://rtbot.minimolaweb.de"" rel=""nofollow"">Super Mario Odyssey Retweet-Bot</a>","odyssey_rt_bot",3,TRUE,FALSE,NA,NA
"14","RT @WillsVincent94: Now to find all those power moons... #SuperMarioOdyssey #NintendoSwitch https://t.co/QBeJOaJWM1",FALSE,0,NA,2018-05-06 23:45:19,FALSE,NA,"993275547726659584",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"15","Now to find all those power moons... #SuperMarioOdyssey #NintendoSwitch https://t.co/QBeJOaJWM1",FALSE,2,NA,2018-05-06 23:45:18,FALSE,NA,"993275545595998210",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","WillsVincent94",1,FALSE,FALSE,NA,NA
"16","also, i'm so happy I unlocked the custom music list in #SuperMarioOdyssey because now I get to listen to Jump Up, S… https://t.co/WxTW2cksBC",FALSE,0,NA,2018-05-06 23:45:06,TRUE,NA,"993275492609376258",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheGIGGAS",0,FALSE,FALSE,NA,NA
"17","RT @PizzMozz: sup at koolguy :)))))))))))))))))))) #SuperMarioOdyssey #NintendoSwitch https://t.co/DC87iyGybT",FALSE,0,NA,2018-05-06 23:43:19,FALSE,NA,"993275044087316480",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",2,TRUE,FALSE,NA,NA
"18","sup at koolguy :)))))))))))))))))))) #SuperMarioOdyssey #NintendoSwitch https://t.co/DC87iyGybT",FALSE,1,NA,2018-05-06 23:43:18,FALSE,NA,"993275041826590720",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","PizzMozz",2,FALSE,FALSE,NA,NA
"19","RT @HamSam03: That last roll cost me the WR :( #SuperMarioOdyssey #NintendoSwitch https://t.co/u1nLL93lES",FALSE,0,NA,2018-05-06 23:43:16,FALSE,NA,"993275032649523200",NA,"<a href=""https://rtbot.minimolaweb.de"" rel=""nofollow"">Super Mario Odyssey Retweet-Bot</a>","odyssey_rt_bot",2,TRUE,FALSE,NA,NA
"20","RT @Viridian470: A leering set of eyes lurks... #SuperMarioOdyssey #NintendoSwitch https://t.co/BYrRxRivlF",FALSE,0,NA,2018-05-06 23:42:55,FALSE,NA,"993274944346775553",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"21","A leering set of eyes lurks... #SuperMarioOdyssey #NintendoSwitch https://t.co/BYrRxRivlF",FALSE,1,NA,2018-05-06 23:42:54,FALSE,NA,"993274941838581760",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","Viridian470",1,FALSE,FALSE,NA,NA
"22","RT @PizzMozz: CAN YOU FEEL THE SUNSHINE #SuperMarioOdyssey #NintendoSwitch https://t.co/9aug2bFidN",FALSE,0,NA,2018-05-06 23:40:50,FALSE,NA,"993274421002432512",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"23","CAN YOU FEEL THE SUNSHINE #SuperMarioOdyssey #NintendoSwitch https://t.co/9aug2bFidN",FALSE,0,NA,2018-05-06 23:40:50,FALSE,NA,"993274418792091649",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","PizzMozz",1,FALSE,FALSE,NA,NA
"24","RT @TheGIGGAS: that Sunday feel #SuperMarioOdyssey #NintendoSwitch https://t.co/6FX9fw2J5e",FALSE,0,NA,2018-05-06 23:40:47,FALSE,NA,"993274408025309184",NA,"<a href=""http://apps.burndive.com"" rel=""nofollow"">Odyssey Retweeter</a>","YouOdysseyThis",1,TRUE,FALSE,NA,NA
"25","that Sunday feel #SuperMarioOdyssey #NintendoSwitch https://t.co/6FX9fw2J5e",FALSE,0,NA,2018-05-06 23:40:47,FALSE,NA,"993274405764542464",NA,"<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>","TheGIGGAS",1,FALSE,FALSE,NA,NA
"26","RT @ChasmicSecret: hadvas god g4m3r #SuperMarioOdyssey #NintendoSwitch https://t.co/qo88CQX9gK",FALSE,0,NA,2018-05-06 23:40:15,FALSE,NA,"993274273086296064",NA,"<a href=""https://rtbot.minimolaweb.de"" rel=""nofollow"">Super Mario Odyssey Retweet-Bot</a>","odyssey_rt_bot",2,TRUE,FALSE,NA,NA
