"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","6% OFF #MacBookPro #apple #laptop @amazon @apple Apple 12"" MacBook, Retina, 1.3GHz Intel Core i5 Dual Core Processo‚Ä¶ https://t.co/JCs4d4V6wb",FALSE,1,NA,2018-05-04 17:35:03,TRUE,NA,"992457593779118080",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",0,FALSE,FALSE,NA,NA
"2","42% OFF #apple #MacBook #MacBookAir #laptop @amazon @apple Apple 13.3"" MacBook Air ( Silver) https://t.co/ZtMA1Y1Sbi https://t.co/06F93RUDPJ",FALSE,3,NA,2018-05-04 17:30:12,FALSE,NA,"992456370162106368",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",0,FALSE,FALSE,NA,NA
"3","May the 4th be with you Geeks!
We have Star Wars Edition Gaming Laptops!
Check it out online and in-store today!‚Ä¶ https://t.co/qn2sBBF05l",FALSE,0,NA,2018-05-04 17:30:07,TRUE,NA,"992456351539515393",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GeeksOutlet",0,FALSE,FALSE,NA,NA
"4","What‚Äôs your entrepreneurial super power? Mine is not being scared of #tech... pretty lucky, having a #laptop busine‚Ä¶ https://t.co/BAMXXN3stD",FALSE,0,NA,2018-05-04 17:30:01,TRUE,NA,"992456324523929601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UnbossMe",0,FALSE,FALSE,NA,NA
"5","The #safest #bag ever, which has so many #features you won‚Äôt believe them! It has a #largespace #design, where you‚Ä¶ https://t.co/PLEYkPGvWN",FALSE,0,NA,2018-05-04 17:30:00,TRUE,NA,"992456322003091462",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LoveBaggeria",0,FALSE,FALSE,NA,NA
"6","Laptop Backpack Large Capacity Bag 
#Laptop #Backpack #Large #Capacity #Bag @lalbuginfo 
15.6 Inch Laptop Backpack‚Ä¶ https://t.co/tGKxQaHi9N",FALSE,1,NA,2018-05-04 17:26:44,TRUE,NA,"992455499080585216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdataur59",0,FALSE,FALSE,NA,NA
"7","Do you need a #responsivewebsite for your new #businessventure Our websites work on all devices #desktop #laptop‚Ä¶ https://t.co/aAqhwOEotb",FALSE,0,NA,2018-05-04 17:26:02,TRUE,NA,"992455321489694720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Luxxwebdesign",0,FALSE,FALSE,NA,NA
"8","Laptop Backpack External USB Charge
#Laptop #Backpack #External #USB #Charge @lalbuginfo 
Kingsons 15‚Ä≥17‚Ä≥ Laptop Ba‚Ä¶ https://t.co/uE96XDHXTA",FALSE,1,NA,2018-05-04 17:22:03,TRUE,NA,"992454321588465664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdataur59",0,FALSE,FALSE,NA,NA
"9","Laptop backpack computer school bag
#Laptop #backpack #computer #school #bag @lalbuginfo
 Men‚Äôs 15 inch laptop back‚Ä¶ https://t.co/YXMhR4vxdd",FALSE,1,NA,2018-05-04 17:17:41,TRUE,NA,"992453219627364352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdataur59",0,FALSE,FALSE,NA,NA
"10","Ì†ºÌº∂Ô∏èÌ†ºÌº∂Ô∏èÌ†ºÌº∂Ô∏èEveryone #loves a little spice. #Celebrate Cinco de Mayo with our Chili Pepper Red #Tote. GET 15% OFF the Amb‚Ä¶ https://t.co/LfQkDzc4VM",FALSE,1,NA,2018-05-04 17:10:41,TRUE,NA,"992451459525427200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amberashco",0,FALSE,FALSE,NA,NA
