"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:57:44,FALSE,NA,"993263574431748098",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Anakin4182",75,TRUE,FALSE,NA,NA
"2","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:57:14,FALSE,NA,"993263447268872192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spriteuman",75,TRUE,FALSE,NA,NA
"3","RT @SoftaamiArt: I finished Minish Cap and it was such a good game!!!(yes i know i'm playing it late as heck) #zelda #minishcap #Nintendo h‚Ä¶",FALSE,0,NA,2018-05-06 22:56:36,FALSE,NA,"993263287642017792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brawl9977",6,TRUE,FALSE,NA,NA
"4","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:56:23,FALSE,NA,"993263232616984577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gamergirl101212",75,TRUE,FALSE,NA,NA
"5","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:55:20,FALSE,NA,"993262970904948739",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rosethorns97",75,TRUE,FALSE,NA,NA
"6","RT @nintencollect: It‚Äôs that time again...

Starting just 2 weeks from today, it‚Äôs the beginning of the 3rd annual #ZeldaWeeks!!! ‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è

J‚Ä¶",FALSE,0,NA,2018-05-06 22:55:14,FALSE,NA,"993262945915334656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bananafnana",64,TRUE,FALSE,NA,NA
"7","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:54:13,FALSE,NA,"993262686870953984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jason0Avis",75,TRUE,FALSE,NA,NA
"8","RT @nintencollect: It‚Äôs that time again...

Starting just 2 weeks from today, it‚Äôs the beginning of the 3rd annual #ZeldaWeeks!!! ‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è

J‚Ä¶",FALSE,0,NA,2018-05-06 22:53:46,FALSE,NA,"993262575587643392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gengargamer64",64,TRUE,FALSE,NA,NA
"9","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:53:39,FALSE,NA,"993262544528683008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lucar3213",75,TRUE,FALSE,NA,NA
"10","RT @SoftaamiArt: I finished Minish Cap and it was such a good game!!!(yes i know i'm playing it late as heck) #zelda #minishcap #Nintendo h‚Ä¶",FALSE,0,NA,2018-05-06 22:53:06,FALSE,NA,"993262409463881729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tausenix",6,TRUE,FALSE,NA,NA
"11","Sneaking in a quick #CIBSunday with just minutes to go before midnight! This week it's #DonkeyKong on the original‚Ä¶ https://t.co/CF6R9gagli",FALSE,1,NA,2018-05-06 22:52:47,TRUE,NA,"993262328266272768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","albinobandit",0,FALSE,FALSE,NA,NA
"12","Hmmmm... how do you think the next Nintendo console will beat the switch? I wonder what other features it will have‚Ä¶ https://t.co/7xv9XCiCIt",FALSE,1,NA,2018-05-06 22:51:17,TRUE,NA,"993261949969461248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tanklessbird28",0,FALSE,FALSE,NA,NA
"13","RT @WeAreAllDaisy: Which one would you prefer ? Like for Brown eyes, share for Green eyes ! Ì†ΩÌ∏â
#WeAreDaisy #princessdaisy #nintendo #superma‚Ä¶",FALSE,0,NA,2018-05-06 22:51:12,FALSE,NA,"993261928712617984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HylianLegend14",46,TRUE,FALSE,NA,NA
"14","RT @mlnostalgia: SPRING SALE at Mike's General Store and fine goods!

visit store =&gt; https://t.co/fn0Jx0LKQb

#Disney #Nintendo #Batman #gi‚Ä¶",FALSE,0,NA,2018-05-06 22:51:03,FALSE,NA,"993261889432899584",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","midler_helen",269,TRUE,FALSE,NA,NA
"15","RT @GL_Podcast: We will be live streaming our recording of this weeks podcast in tonight at 8pm est. Come join the chat and hang out! https‚Ä¶",FALSE,0,NA,2018-05-06 22:49:41,FALSE,NA,"993261546045353984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Niki_Meadows_",3,TRUE,FALSE,NA,NA
"16","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 22:48:43,FALSE,NA,"993261303320883200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tteolun",75,TRUE,FALSE,NA,NA
"17","@ZOMBIEWASHOTGUN I remember when my brother and I found a SEGA genesis and played a Power Rangers game. Childhood V‚Ä¶ https://t.co/1qJv4810VY",FALSE,0,"ZOMBIEWASHOTGUN",2018-05-06 22:48:10,TRUE,"992769575132508160","993261165093404672","739013040","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ET_DeBreen",0,FALSE,FALSE,NA,NA
"18","Here's some stuff I've been working on towards my big project for Tuesdays 

What do u really think bbs‚Ä¶ https://t.co/w5cwWZXXtO",FALSE,0,NA,2018-05-06 22:48:10,TRUE,NA,"993261164233723904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R2Pichu",0,FALSE,FALSE,NA,NA
"19","@EAPyoutube I was just asking if the port of #Donkey #Kong for #Nintendo #Switch is good or not??",FALSE,0,"EAPyoutube",2018-05-06 22:48:07,FALSE,"993260431534936065","993261152149884928","2768629498","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PixelSquid_",0,FALSE,FALSE,NA,NA
"20","RT @16bitnostalgia: Anyone's significant other a gamer?

My girl is and I'm seriously considering proposing like this one day!

#retrogamin‚Ä¶",FALSE,0,NA,2018-05-06 22:46:54,FALSE,NA,"993260846229880833",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FranIgVi",14,TRUE,FALSE,NA,NA
"21","#Nintendo #GameBoyColor Kiwi Green Handheld System - with 5 Classic #Arcade Games #eBay
Ì†ΩÌ¥ó https://t.co/eXaFpf5VEZ https://t.co/3xb39Vm1CW",FALSE,1,NA,2018-05-06 22:46:51,FALSE,NA,"993260836591423489",NA,"<a href=""https://nintendo.bestpricedealz.com"" rel=""nofollow"">We Love Nintendo Bot</a>","bpdnintendo",0,FALSE,FALSE,NA,NA
