"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LovMura: commission for @RandoTenshin !!!

[#Splatoon] [#Splatoon2] https://t.co/M5wxapn6gI",FALSE,0,NA,2018-05-06 23:58:25,FALSE,NA,"993278845708095488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","XenoJace",10,TRUE,FALSE,NA,NA
"2","RT @Geo_Exe: [SPLATRUMPET] I love this meme XD
---
@SplatoonJP @SplatoonNews #Splatoon #Nintendo #NintendoSwitch https://t.co/ji1rEkbgX7",FALSE,0,NA,2018-05-06 23:56:47,FALSE,NA,"993278433089077248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Phillip32637668",8736,TRUE,FALSE,NA,NA
"3","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:56:13,FALSE,NA,"993278293142106112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TinoBoy1998",88,TRUE,FALSE,NA,NA
"4","RT @StarGlowArt: May's patreon theme is #Splatoon2 #splatoon with octoexpansion! You have all of May to pledge and get these stickers, pdf‚Ä¶",FALSE,0,NA,2018-05-06 23:55:02,FALSE,NA,"993277991466754048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StarGlowTweet",7,TRUE,FALSE,NA,NA
"5","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:53:29,FALSE,NA,"993277603871117312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TommyWeber88",60,TRUE,FALSE,NA,NA
"6","RT @fluffehfish: octoling boy Ì†ΩÌ∏ú¬†#„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/ieSBwrLuhe",FALSE,0,NA,2018-05-06 23:52:16,FALSE,NA,"993277295262658560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","softasterism",366,TRUE,FALSE,NA,NA
"7","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:50:48,FALSE,NA,"993276927879229445",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuperDaStar",60,TRUE,FALSE,NA,NA
"8","RT @Geo_Exe: [SPLATRUMPET] I love this meme XD
---
@SplatoonJP @SplatoonNews #Splatoon #Nintendo #NintendoSwitch https://t.co/ji1rEkbgX7",FALSE,0,NA,2018-05-06 23:49:47,FALSE,NA,"993276674140602368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naudgriz",8736,TRUE,FALSE,NA,NA
"9","RT @3DROD: Ì†ΩÌ∞ô: ""We have food at home""
Ì†æÌ∂ë:

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥  #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Animonthly https://t.co/l6o5AcObYz",FALSE,0,NA,2018-05-06 23:47:29,FALSE,NA,"993276095339393024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","actuallymagical",2053,TRUE,FALSE,NA,NA
"10","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:47:14,FALSE,NA,"993276030797451265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gwenjen101",60,TRUE,FALSE,NA,NA
"11","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:47:14,FALSE,NA,"993276030369624064",NA,"<a href=""https://script.google.com/macros/s/AKfycbx4vGUVr8-ffs5hEehcDk9bs6qgNF12LQGYA-DNXR98KM8VKVBF/exec?v1"" rel=""nofollow"">GDTron RT 1</a>","GDAutoArt",88,TRUE,FALSE,NA,NA
"12","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:46:52,FALSE,NA,"993275938552115200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarkGalvatrix",88,TRUE,FALSE,NA,NA
"13","RT @bananasprouts: my first ever squid ocs way back from splat 1 that I don't draw enough.. they're twins! yato and yumi
#splatoon #digital‚Ä¶",FALSE,0,NA,2018-05-06 23:44:59,FALSE,NA,"993275464411103232",NA,"<a href=""https://twitter.com/nagareosameru"" rel=""nofollow"">ÊúÄÈ´ò„ÅÆ‰∫∫Áîü„Å´„Åô„Çã„ÉÑ„Éº„É´</a>","ryujidr1",0,FALSE,FALSE,NA,NA
"14","RT @bananasprouts: my first ever squid ocs way back from splat 1 that I don't draw enough.. they're twins! yato and yumi
#splatoon #digital‚Ä¶",FALSE,0,NA,2018-05-06 23:44:27,FALSE,NA,"993275328452747264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jjjeakson",2,TRUE,FALSE,NA,NA
"15","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:42:47,FALSE,NA,"993274911111110656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sevengranddad92",88,TRUE,FALSE,NA,NA
"16","RT @LovMura: finished lov from the stream! needed some new examples for the comm sheet

[#Splatoon] [#Splatoon2] https://t.co/qWfu5NsCPm",FALSE,0,NA,2018-05-06 23:41:26,FALSE,NA,"993274571594780672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SplatoonHell",67,TRUE,FALSE,NA,NA
"17","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:35:43,FALSE,NA,"993273134135562240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeoOfTheWind",60,TRUE,FALSE,NA,NA
"18","RT @LovMura: commission for @RandoTenshin !!!

[#Splatoon] [#Splatoon2] https://t.co/M5wxapn6gI",FALSE,0,NA,2018-05-06 23:35:34,FALSE,NA,"993273095048912897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","D0GZlLLA",10,TRUE,FALSE,NA,NA
"19","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:32:42,FALSE,NA,"993272374316314624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Kastnelx",60,TRUE,FALSE,NA,NA
"20","RT @LovMura: commission for @RandoTenshin !!!

[#Splatoon] [#Splatoon2] https://t.co/M5wxapn6gI",FALSE,0,NA,2018-05-06 23:32:19,FALSE,NA,"993272278216425473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rc_sparkx",10,TRUE,FALSE,NA,NA
"21","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:30:47,FALSE,NA,"993271890696458240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leo_splats",60,TRUE,FALSE,NA,NA
"22","RT @teh_ray: When you're a roller, you're a Squid Shark. #Splatoon #Splatoon2 https://t.co/7IBA708Qlv",FALSE,0,NA,2018-05-06 23:30:15,FALSE,NA,"993271757296586752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pyroboar",13,TRUE,FALSE,NA,NA
"23","RT @LovelyxAlmonds: Icon commission batch Ì†æÌ∂ëÌ†ΩÌ∞ô
@jojmeister  @The_Iwoomynati and someone on the sploon amino
#Splatoon #Splatoon2 https://t.co‚Ä¶",FALSE,0,NA,2018-05-06 23:30:14,FALSE,NA,"993271751776919553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","benlitzler",5,TRUE,FALSE,NA,NA
"24","RT @bunsoir: uhhh?? squsi???? #Splatoon2 #splatoon https://t.co/pZRXoMNVQS",FALSE,0,NA,2018-05-06 23:24:53,FALSE,NA,"993270404251836416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Airbuilder7",5,TRUE,FALSE,NA,NA
"25","RT @Geo_Exe: [SPLATRUMPET] I love this meme XD
---
@SplatoonJP @SplatoonNews #Splatoon #Nintendo #NintendoSwitch https://t.co/ji1rEkbgX7",FALSE,0,NA,2018-05-06 23:24:18,FALSE,NA,"993270258680061954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prpr16",8736,TRUE,FALSE,NA,NA
"26","RT @LovMura: finished lov from the stream! needed some new examples for the comm sheet

[#Splatoon] [#Splatoon2] https://t.co/qWfu5NsCPm",FALSE,0,NA,2018-05-06 23:24:14,FALSE,NA,"993270241609170944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ONExMORExZOMBIE",67,TRUE,FALSE,NA,NA
"27","RT @LovelyxAlmonds: Icon commission batch Ì†æÌ∂ëÌ†ΩÌ∞ô
@jojmeister  @The_Iwoomynati and someone on the sploon amino
#Splatoon #Splatoon2 https://t.co‚Ä¶",FALSE,0,NA,2018-05-06 23:22:19,FALSE,NA,"993269762024062976",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CannedCoral",5,TRUE,FALSE,NA,NA
"28","RT @3DROD: Ì†ΩÌ∞ô: ""We have food at home""
Ì†æÌ∂ë:

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥  #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Animonthly https://t.co/l6o5AcObYz",FALSE,0,NA,2018-05-06 23:21:04,FALSE,NA,"993269444544692225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","co_coas",2053,TRUE,FALSE,NA,NA
"29","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:20:14,FALSE,NA,"993269237492961280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michaelcabangba",88,TRUE,FALSE,NA,NA
"30","RT @LovelyxAlmonds: Icon commission batch Ì†æÌ∂ëÌ†ΩÌ∞ô
@jojmeister  @The_Iwoomynati and someone on the sploon amino
#Splatoon #Splatoon2 https://t.co‚Ä¶",FALSE,0,NA,2018-05-06 23:19:26,FALSE,NA,"993269036174725120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","XenoJace",5,TRUE,FALSE,NA,NA
"31","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:19:14,FALSE,NA,"993268984949637120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AokiLeaf",88,TRUE,FALSE,NA,NA
"32","RT @teh_ray: When you're a roller, you're a Squid Shark. #Splatoon #Splatoon2 https://t.co/7IBA708Qlv",FALSE,0,NA,2018-05-06 23:18:40,FALSE,NA,"993268839386411008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xpninjadan",13,TRUE,FALSE,NA,NA
"33","RT @bananasprouts: my first ever squid ocs way back from splat 1 that I don't draw enough.. they're twins! yato and yumi
#splatoon #digital‚Ä¶",FALSE,0,NA,2018-05-06 23:17:17,FALSE,NA,"993268494169976832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seahipster",2,TRUE,FALSE,NA,NA
"34","RT @Geo_Exe: [SPLATRUMPET] I love this meme XD
---
@SplatoonJP @SplatoonNews #Splatoon #Nintendo #NintendoSwitch https://t.co/ji1rEkbgX7",FALSE,0,NA,2018-05-06 23:16:42,FALSE,NA,"993268344777097217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SaltwaterSpider",8736,TRUE,FALSE,NA,NA
"35","my first ever squid ocs way back from splat 1 that I don't draw enough.. they're twins! yato and yumi
#splatoon‚Ä¶ https://t.co/H1e2zv6HB4",FALSE,5,NA,2018-05-06 23:15:28,TRUE,NA,"993268036399493120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bananasprouts",2,FALSE,FALSE,NA,NA
"36","Yukan &amp; Bubbles ‚ù§Ô∏èÌ†ΩÌ≤ñ (+cute filter version thanks to ale who yukan belongs to)

#splatoon #ocs #boyfriends #edit https://t.co/QKvOl9Cx5e",FALSE,6,NA,2018-05-06 23:14:03,FALSE,NA,"993267677820018689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","giraffealamode",0,FALSE,FALSE,NA,NA
"37","RT @RatedEArt: Welp, I finally finished that ""big art project"" I mentioned a while ago, it only took about a month. Ì†ΩÌ∏Ö

#Nintendo #Splatoon‚Ä¶",FALSE,0,NA,2018-05-06 23:11:37,FALSE,NA,"993267067238404096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Squidtoonist",88,TRUE,FALSE,NA,NA
"38","RT @LovelyxAlmonds: Icon commission batch Ì†æÌ∂ëÌ†ΩÌ∞ô
@jojmeister  @The_Iwoomynati and someone on the sploon amino
#Splatoon #Splatoon2 https://t.co‚Ä¶",FALSE,0,NA,2018-05-06 23:11:08,FALSE,NA,"993266945599275008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The_Iwoomynati",5,TRUE,FALSE,NA,NA
"39","RT @krintou_squids: Some illustrations used in my recent video, please check it out!: https://t.co/xHGgxIc1w2

#Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº‚Ä¶",FALSE,0,NA,2018-05-06 23:11:07,FALSE,NA,"993266940218171394",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Azucrack",60,TRUE,FALSE,NA,NA
"40","RT @xsculpts: finally wrapped this up! sketchfab viewer in the artstation link! https://t.co/FjzhoZB840  #splatoon #marina https://t.co/Z2A‚Ä¶",FALSE,0,NA,2018-05-06 23:10:50,FALSE,NA,"993266868411666433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nutbarski",5,TRUE,FALSE,NA,NA
"41","RT @LovelyxAlmonds: Icon commission batch Ì†æÌ∂ëÌ†ΩÌ∞ô
@jojmeister  @The_Iwoomynati and someone on the sploon amino
#Splatoon #Splatoon2 https://t.co‚Ä¶",FALSE,0,NA,2018-05-06 23:10:21,FALSE,NA,"993266747053617158",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NoiseRenegade",5,TRUE,FALSE,NA,NA
